CPU Name,Brand,User Rating,Value%,Avg Bench %,Memory Points,8-Core Points,Market Share %,Avg Months
"Compare

											AMD Ryzen 5 3600
 $103
Samples 1M",AMD,,"10990th
","83.173 - 9286th
",76.362nd,79287th,"1.44100th
",5682nd
"Compare

											AMD Ryzen 5 5600X
 $144
Samples 383k",AMD,,"11594th
","95.983 - 10793rd
",8485th,88389th,"1.1999th
",4089th
"Compare

											AMD Ryzen 7 7800X3D
 $366
Samples 4.2k",AMD,,"10889th
","117107 - 12398th
",95.8100th,133397th,"0.3397th
",11+98th
"Compare

											AMD Ryzen 7 5800X
 $200
Samples 128k",AMD,,"10787th
","98.186 - 11294th
",82.481st,104494th,"0.9198th
",4089th
"Compare

											AMD Ryzen 7 3700X
 $210
Samples 635k",AMD,,"92.871st
","85.976 - 9488th
",76.262nd,90090th,"0.798th
",5682nd
"Compare

											AMD Ryzen 5 2600X
 $195
Samples 142k",AMD,,"81.655th
","7464 - 8678th
",76.463rd,64382nd,"0.1792nd
",7176th
"Compare

											AMD Ryzen 5 7600X
 $210
Samples 2.5k",AMD,,"11997th
","11097 - 12097th
",8485th,115296th,"0.2491st
",1795th
"Compare

											AMD Ryzen 5 3400G
 $132
Samples 93k",AMD,,"83.657th
","68.154 - 7870th
",69.645th,55078th,"0.188th
",57+82nd
"Compare

											AMD Ryzen 5 2600
 $125
Samples 179k",AMD,,"91.369th
","73.367 - 8177th
",76.664th,62181st,"0.4895th
",7176th
