CPU_Single,CPU_multi,CPU_Quad,GPU_Performance ,SSD_Performance,RAM Performance,Gaming preferences,Office Preferences,Server Preferences
183,852,1566,182,259,95.6,2,2,2
194,1024,1640,52.2,487,104,2,2,2
200,828,1416,223,247,96.4,2,2,2
159,645,977,75,277,78.9,2,2,2
197,919,1583,89.9,172,67.2,2,2,2
160,533,645,123,190,80.9,2,2,1
195,909,1431,136,47.6,67.2,2,2,1
92.2,186,184,1.19,34.6,23.4,2,2,1
215,959,1803,249,451,197,2,2,1
149,596,654,88.4,101,86.6,2,2,1
231,1128,1810,92,290,189,2,2,1
234,967,1491,7.97,269,94.6,2,2,1
180,824,1460,154,131,80,2,2,1
262,1362,4396,411,605,202,2,2,1
65.8,134,130,2.77,127,35.2,2,2,1
119,463,676,77.9,92.3,85.3,2,2,1
201,777,1501,41,289,155,2,2,1
118,541,982,85.7,88.8,111,2,2,1
227,953,1408,103,254,149,2,2,1
56.1,98.8,99.6,44.2,86.5,26.5,2,2,1
194,886,1538,196,116,118,2,2,1
164,717,1106,15.4,118,64.4,2,1,1
233,1227,2972,301,594,132,2,1,1
173,768,1476,116,102,67,2,1,1
185,693,1107,96.8,230,66.7,2,1,1
149,564,611,51.3,93.3,84.2,2,1,1
174,690,1096,122,221,95.5,2,1,1
199,832,1240,154,225,85.9,2,1,1
209,916,1565,94.4,316,93,2,1,1
150,642,1019,103,111,68,2,1,1
156,597,778,105,92,60.3,2,1,1
146,539,890,29.7,217,81.2,2,1,1
138,584,941,54.2,73.9,39,2,1,1
38.2,100,100,3.26,44.6,13.5,2,1,1
140,474,757,88.8,181,81.1,2,1,1
119,468,676,83.5,91.9,85.5,2,1,1
139,432,443,66.5,404,72.5,2,1,1
178,815,1231,6.15,167,39.2,2,1,1
224,970,1782,201,275,201,2,1,3
201,832,1224,132,275,108,2,1,3
208,990,3034,215,556,183,2,1,3
264,1369,4314,412,605,213,2,1,3
201,914,1471,181,114,89.2,2,1,3
220,1077,1670,120,534,164,2,1,3
188,838,1172,110,223,74.2,2,1,3
123,304,403,39.1,38.8,38,2,1,3
164,761,1474,146,268,84.4,2,1,3
77.2,259,333,7.33,59,46.1,2,1,3
153,624,949,102,160,85.6,2,1,3
110,469,845,13.9,148,78.4,2,1,3
76.7,223,313,2.15,119,32.4,2,1,3
270,1436,4502,385,443,167,2,1,3
262,1350,3714,154,471,219,2,1,3
200,974,1552,295,215,118,2,1,3
107,331,369,45.1,95.4,71.3,2,1,3
155,639,980,115,84.6,83.8,2,1,3
172,743,1457,117,182,83.9,2,1,3
137,409,106,9.88,217,47.6,2,1,3
227,1151,2830,398,155,178,2,1,3
157,632,1065,51.3,200,92.9,2,1,3
193,930,1622,173,519,187,2,1,3
77.6,199,260,59.9,56.9,64.8,2,1,3
124,523,710,126,84.5,80.8,2,1,3
147,570,684,78.3,39.3,70.9,2,1,3
